plate_id,sample_id,replicate,quant_row,quant_column,sample_volume
Tepolt_mesopelagic-fish_plate1,A1,1,A,1,1
Tepolt_mesopelagic-fish_plate1,A2,1,A,3,1
Tepolt_mesopelagic-fish_plate1,A3,1,A,5,1
Tepolt_mesopelagic-fish_plate1,A4,1,A,7,1
Tepolt_mesopelagic-fish_plate1,A5,1,A,9,1
Tepolt_mesopelagic-fish_plate1,A6,1,A,11,1
Tepolt_mesopelagic-fish_plate1,A7,1,A,13,1
Tepolt_mesopelagic-fish_plate1,A8,1,A,15,1
Tepolt_mesopelagic-fish_plate1,A9,1,A,17,1
Tepolt_mesopelagic-fish_plate1,A10,1,A,19,1
Tepolt_mesopelagic-fish_plate1,A11,1,A,21,1
Tepolt_mesopelagic-fish_plate1,A12,1,A,23,1
Tepolt_mesopelagic-fish_plate1,B1,1,B,1,1
Tepolt_mesopelagic-fish_plate1,B2,1,B,3,1
Tepolt_mesopelagic-fish_plate1,B3,1,B,5,1
Tepolt_mesopelagic-fish_plate1,B4,1,B,7,1
Tepolt_mesopelagic-fish_plate1,B5,1,B,9,1
Tepolt_mesopelagic-fish_plate1,B6,1,B,11,1
Tepolt_mesopelagic-fish_plate1,B7,1,B,13,1
Tepolt_mesopelagic-fish_plate1,B8,1,B,15,1
Tepolt_mesopelagic-fish_plate1,B9,1,B,17,1
Tepolt_mesopelagic-fish_plate1,B10,1,B,19,1
Tepolt_mesopelagic-fish_plate1,B11,1,B,21,1
Tepolt_mesopelagic-fish_plate1,B12,1,B,23,1
Tepolt_mesopelagic-fish_plate1,C1,1,C,1,1
Tepolt_mesopelagic-fish_plate1,C2,1,C,3,1
Tepolt_mesopelagic-fish_plate1,C3,1,C,5,1
Tepolt_mesopelagic-fish_plate1,C4,1,C,7,1
Tepolt_mesopelagic-fish_plate1,C5,1,C,9,1
Tepolt_mesopelagic-fish_plate1,C6,1,C,11,1
Tepolt_mesopelagic-fish_plate1,C7,1,C,13,1
Tepolt_mesopelagic-fish_plate1,C8,1,C,15,1
Tepolt_mesopelagic-fish_plate1,C9,1,C,17,1
Tepolt_mesopelagic-fish_plate1,C10,1,C,19,1
Tepolt_mesopelagic-fish_plate1,C11,1,C,21,1
Tepolt_mesopelagic-fish_plate1,C12,1,C,23,1
Tepolt_mesopelagic-fish_plate1,D1,1,D,1,1
Tepolt_mesopelagic-fish_plate1,D2,1,D,3,1
Tepolt_mesopelagic-fish_plate1,D3,1,D,5,1
Tepolt_mesopelagic-fish_plate1,D4,1,D,7,1
Tepolt_mesopelagic-fish_plate1,D5,1,D,9,1
Tepolt_mesopelagic-fish_plate1,D6,1,D,11,1
Tepolt_mesopelagic-fish_plate1,D7,1,D,13,1
Tepolt_mesopelagic-fish_plate1,D8,1,D,15,1
Tepolt_mesopelagic-fish_plate1,D9,1,D,17,1
Tepolt_mesopelagic-fish_plate1,D10,1,D,19,1
Tepolt_mesopelagic-fish_plate1,D11,1,D,21,1
Tepolt_mesopelagic-fish_plate1,D12,1,D,23,1
Tepolt_mesopelagic-fish_plate1,E1,1,E,1,1
Tepolt_mesopelagic-fish_plate1,E2,1,E,3,1
Tepolt_mesopelagic-fish_plate1,E3,1,E,5,1
Tepolt_mesopelagic-fish_plate1,E4,1,E,7,1
Tepolt_mesopelagic-fish_plate1,E5,1,E,9,1
Tepolt_mesopelagic-fish_plate1,E6,1,E,11,1
Tepolt_mesopelagic-fish_plate1,E7,1,E,13,1
Tepolt_mesopelagic-fish_plate1,E8,1,E,15,1
Tepolt_mesopelagic-fish_plate1,E9,1,E,17,1
Tepolt_mesopelagic-fish_plate1,E10,1,E,19,1
Tepolt_mesopelagic-fish_plate1,E11,1,E,21,1
Tepolt_mesopelagic-fish_plate1,E12,1,E,23,1
Tepolt_mesopelagic-fish_plate1,F1,1,F,1,1
Tepolt_mesopelagic-fish_plate1,F2,1,F,3,1
Tepolt_mesopelagic-fish_plate1,F3,1,F,5,1
Tepolt_mesopelagic-fish_plate1,F4,1,F,7,1
Tepolt_mesopelagic-fish_plate1,F5,1,F,9,1
Tepolt_mesopelagic-fish_plate1,F6,1,F,11,1
Tepolt_mesopelagic-fish_plate1,F7,1,F,13,1
Tepolt_mesopelagic-fish_plate1,F8,1,F,15,1
Tepolt_mesopelagic-fish_plate1,F9,1,F,17,1
Tepolt_mesopelagic-fish_plate1,F10,1,F,19,1
Tepolt_mesopelagic-fish_plate1,F11,1,F,21,1
Tepolt_mesopelagic-fish_plate1,F12,1,F,23,1
Tepolt_mesopelagic-fish_plate1,G1,1,G,1,1
Tepolt_mesopelagic-fish_plate1,G2,1,G,3,1
Tepolt_mesopelagic-fish_plate1,G3,1,G,5,1
Tepolt_mesopelagic-fish_plate1,G4,1,G,7,1
Tepolt_mesopelagic-fish_plate1,G5,1,G,9,1
Tepolt_mesopelagic-fish_plate1,G6,1,G,11,1
Tepolt_mesopelagic-fish_plate1,G7,1,G,13,1
Tepolt_mesopelagic-fish_plate1,G8,1,G,15,1
Tepolt_mesopelagic-fish_plate1,G9,1,G,17,1
Tepolt_mesopelagic-fish_plate1,G10,1,G,19,1
Tepolt_mesopelagic-fish_plate1,G11,1,G,21,1
Tepolt_mesopelagic-fish_plate1,G12,1,G,23,1
Tepolt_mesopelagic-fish_plate1,H1,1,H,1,1
Tepolt_mesopelagic-fish_plate1,H2,1,H,3,1
Tepolt_mesopelagic-fish_plate1,H3,1,H,5,1
Tepolt_mesopelagic-fish_plate1,H4,1,H,7,1
Tepolt_mesopelagic-fish_plate1,H5,1,H,9,1
Tepolt_mesopelagic-fish_plate1,H6,1,H,11,1
Tepolt_mesopelagic-fish_plate1,H7,1,H,13,1
Tepolt_mesopelagic-fish_plate1,H8,1,H,15,1
Tepolt_mesopelagic-fish_plate1,H9,1,H,17,1
Tepolt_mesopelagic-fish_plate1,H10,1,H,19,1
Tepolt_mesopelagic-fish_plate1,H11,1,H,21,1
Tepolt_mesopelagic-fish_plate1,H12,1,H,23,1
Tepolt_mesopelagic-fish_plate1,A1,2,A,2,1
Tepolt_mesopelagic-fish_plate1,A2,2,A,4,1
Tepolt_mesopelagic-fish_plate1,A3,2,A,6,1
Tepolt_mesopelagic-fish_plate1,A4,2,A,8,1
Tepolt_mesopelagic-fish_plate1,A5,2,A,10,1
Tepolt_mesopelagic-fish_plate1,A6,2,A,12,1
Tepolt_mesopelagic-fish_plate1,A7,2,A,14,1
Tepolt_mesopelagic-fish_plate1,A8,2,A,16,1
Tepolt_mesopelagic-fish_plate1,A9,2,A,18,1
Tepolt_mesopelagic-fish_plate1,A10,2,A,20,1
Tepolt_mesopelagic-fish_plate1,A11,2,A,22,1
Tepolt_mesopelagic-fish_plate1,A12,2,A,24,1
Tepolt_mesopelagic-fish_plate1,B1,2,B,2,1
Tepolt_mesopelagic-fish_plate1,B2,2,B,4,1
Tepolt_mesopelagic-fish_plate1,B3,2,B,6,1
Tepolt_mesopelagic-fish_plate1,B4,2,B,8,1
Tepolt_mesopelagic-fish_plate1,B5,2,B,10,1
Tepolt_mesopelagic-fish_plate1,B6,2,B,12,1
Tepolt_mesopelagic-fish_plate1,B7,2,B,14,1
Tepolt_mesopelagic-fish_plate1,B8,2,B,16,1
Tepolt_mesopelagic-fish_plate1,B9,2,B,18,1
Tepolt_mesopelagic-fish_plate1,B10,2,B,20,1
Tepolt_mesopelagic-fish_plate1,B11,2,B,22,1
Tepolt_mesopelagic-fish_plate1,B12,2,B,24,1
Tepolt_mesopelagic-fish_plate1,C1,2,C,2,1
Tepolt_mesopelagic-fish_plate1,C2,2,C,4,1
Tepolt_mesopelagic-fish_plate1,C3,2,C,6,1
Tepolt_mesopelagic-fish_plate1,C4,2,C,8,1
Tepolt_mesopelagic-fish_plate1,C5,2,C,10,1
Tepolt_mesopelagic-fish_plate1,C6,2,C,12,1
Tepolt_mesopelagic-fish_plate1,C7,2,C,14,1
Tepolt_mesopelagic-fish_plate1,C8,2,C,16,1
Tepolt_mesopelagic-fish_plate1,C9,2,C,18,1
Tepolt_mesopelagic-fish_plate1,C10,2,C,20,1
Tepolt_mesopelagic-fish_plate1,C11,2,C,22,1
Tepolt_mesopelagic-fish_plate1,C12,2,C,24,1
Tepolt_mesopelagic-fish_plate1,D1,2,D,2,1
Tepolt_mesopelagic-fish_plate1,D2,2,D,4,1
Tepolt_mesopelagic-fish_plate1,D3,2,D,6,1
Tepolt_mesopelagic-fish_plate1,D4,2,D,8,1
Tepolt_mesopelagic-fish_plate1,D5,2,D,10,1
Tepolt_mesopelagic-fish_plate1,D6,2,D,12,1
Tepolt_mesopelagic-fish_plate1,D7,2,D,14,1
Tepolt_mesopelagic-fish_plate1,D8,2,D,16,1
Tepolt_mesopelagic-fish_plate1,D9,2,D,18,1
Tepolt_mesopelagic-fish_plate1,D10,2,D,20,1
Tepolt_mesopelagic-fish_plate1,D11,2,D,22,1
Tepolt_mesopelagic-fish_plate1,D12,2,D,24,1
Tepolt_mesopelagic-fish_plate1,E1,2,E,2,1
Tepolt_mesopelagic-fish_plate1,E2,2,E,4,1
Tepolt_mesopelagic-fish_plate1,E3,2,E,6,1
Tepolt_mesopelagic-fish_plate1,E4,2,E,8,1
Tepolt_mesopelagic-fish_plate1,E5,2,E,10,1
Tepolt_mesopelagic-fish_plate1,E6,2,E,12,1
Tepolt_mesopelagic-fish_plate1,E7,2,E,14,1
Tepolt_mesopelagic-fish_plate1,E8,2,E,16,1
Tepolt_mesopelagic-fish_plate1,E9,2,E,18,1
Tepolt_mesopelagic-fish_plate1,E10,2,E,20,1
Tepolt_mesopelagic-fish_plate1,E11,2,E,22,1
Tepolt_mesopelagic-fish_plate1,E12,2,E,24,1
Tepolt_mesopelagic-fish_plate1,F1,2,F,2,1
Tepolt_mesopelagic-fish_plate1,F2,2,F,4,1
Tepolt_mesopelagic-fish_plate1,F3,2,F,6,1
Tepolt_mesopelagic-fish_plate1,F4,2,F,8,1
Tepolt_mesopelagic-fish_plate1,F5,2,F,10,1
Tepolt_mesopelagic-fish_plate1,F6,2,F,12,1
Tepolt_mesopelagic-fish_plate1,F7,2,F,14,1
Tepolt_mesopelagic-fish_plate1,F8,2,F,16,1
Tepolt_mesopelagic-fish_plate1,F9,2,F,18,1
Tepolt_mesopelagic-fish_plate1,F10,2,F,20,1
Tepolt_mesopelagic-fish_plate1,F11,2,F,22,1
Tepolt_mesopelagic-fish_plate1,F12,2,F,24,1
Tepolt_mesopelagic-fish_plate1,G1,2,G,2,1
Tepolt_mesopelagic-fish_plate1,G2,2,G,4,1
Tepolt_mesopelagic-fish_plate1,G3,2,G,6,1
Tepolt_mesopelagic-fish_plate1,G4,2,G,8,1
Tepolt_mesopelagic-fish_plate1,G5,2,G,10,1
Tepolt_mesopelagic-fish_plate1,G6,2,G,12,1
Tepolt_mesopelagic-fish_plate1,G7,2,G,14,1
Tepolt_mesopelagic-fish_plate1,G8,2,G,16,1
Tepolt_mesopelagic-fish_plate1,G9,2,G,18,1
Tepolt_mesopelagic-fish_plate1,G10,2,G,20,1
Tepolt_mesopelagic-fish_plate1,G11,2,G,22,1
Tepolt_mesopelagic-fish_plate1,G12,2,G,24,1
Tepolt_mesopelagic-fish_plate1,H1,2,H,2,1
Tepolt_mesopelagic-fish_plate1,H2,2,H,4,1
Tepolt_mesopelagic-fish_plate1,H3,2,H,6,1
Tepolt_mesopelagic-fish_plate1,H4,2,H,8,1
Tepolt_mesopelagic-fish_plate1,H5,2,H,10,1
Tepolt_mesopelagic-fish_plate1,H6,2,H,12,1
Tepolt_mesopelagic-fish_plate1,H7,2,H,14,1
Tepolt_mesopelagic-fish_plate1,H8,2,H,16,1
Tepolt_mesopelagic-fish_plate1,H9,2,H,18,1
Tepolt_mesopelagic-fish_plate1,H10,2,H,20,1
Tepolt_mesopelagic-fish_plate1,H11,2,H,22,1
Tepolt_mesopelagic-fish_plate1,H12,2,H,24,1
standard,0,1,I,1,5
standard,0.5,1,I,2,5
standard,1,1,I,3,5
standard,2,1,I,4,5
standard,4,1,I,5,5
standard,6,1,I,6,5
standard,8,1,I,7,5
standard,10,1,I,8,5
